review_id,review_text,sentiment
ed9549fa-9e5e-432a-bf94-9fdbe2baf1a4,"Exceeded all expectations! The smooth was pickup process, and the car cleanliness made everything easy.",positive
ae30869b-1e34-42b8-ad6c-b4f463cfb17e,"Exceeded all expectations! The top-notch was booking ease, and the insurance options made everything easy.",positive
c57c077f-eb3b-4c44-b337-e62b81a25fdf,Such a smooth rental process! The fantastic was customer service and the roadside assistance was just perfect.,positive
1172d1d8-aebf-4b7b-b559-ed80bd9b3245,"Exceeded all expectations! The amazing was pricing, and the tire condition made everything easy.",positive
e5cd06ef-fc57-43d2-9ead-29f1690f174a,Such a smooth rental process! The fantastic was roadside assistance and the air conditioning was just perfect.,positive
69f35773-c29f-4fa4-9324-c79a9a54f56f,"Highly recommend this company! The impressive was hidden fees, and the staff professionalism was top-notch.",positive
dd04709d-93e9-425e-892a-1a61754e9f52,"Loved the service! The great was super return policy, and the fuel policy was beyond my expectations.",positive
f28e92fd-e6bd-40fa-afe0-72592e04b9d4,"If you're looking for great service, this is it! The amazing was GPS availability, and the waiting time was flawless.",positive
1266918f-1c64-47ad-a45d-c142a97d173d,Absolutely fantastic! The outstanding was vehicle condition and the air conditioning made my trip stress-free.,positive
39445012-8954-4734-aac0-c9cde2c2775f,I had an amazing car rental. The amazing was drop-off experience and the insurance options was the highlight.,positive
104c2a5a-c138-4bea-b482-2c91ec5a9ee1,"Would definitely rent again! The top-notch was fantastic, and the staff professionalism was just perfect.",positive
64e4ad11-ec65-4938-8643-27ff9e04b51f,"A truly enjoyable experience! The wonderful was insurance options, and the drop-off experience was spot on.",positive
1debdef0-535e-4e66-a509-45a405b91a51,Such a smooth rental process! The fantastic was drop-off experience and the return policy was just perfect.,positive
2371877f-7ff3-4d3f-acf6-23054c5ec3bf,"Loved the service! The excellent was super pickup process, and the return policy was beyond my expectations.",positive
90009601-d955-4269-ac3c-ea3c755e5cce,Absolutely fantastic! The outstanding was hidden fees and the tire condition made my trip stress-free.,positive
26be9259-d909-4691-8a09-ecaa4082ca34,I had an amazing car rental. The wonderful was deposit policy and the drop-off experience was the highlight.,positive
3ecf47b6-dd76-423e-b023-1fe6b8bbe797,"Loved the service! The impressive was super booking ease, and the pickup process was beyond my expectations.",positive
5670ce84-1141-49fc-8228-553ed73bea82,I had an amazing car rental. The top-notch was air conditioning and the waiting time was the highlight.,positive
5c033fb0-6abe-4054-96b7-1c6cf09c515a,"The car rental experience was flawless. The hidden fees was excellent, and the waiting time made it even better.",positive
f47a38cf-8799-4111-81ae-c6d1b0d03820,"The car rental experience was wonderful. The staff professionalism was excellent, and the hidden fees made it even better.",positive
f479cbb3-0b24-4aae-9eeb-3df5aeb9ed39,"If you're looking for great service, this is it! The great was roadside assistance, and the tire condition was flawless.",positive
85e9b51a-c730-4586-8533-3e85e9a0841d,"The car rental experience was fantastic. The booking ease was excellent, and the pricing made it even better.",positive
0e71b69d-0733-466a-9153-df176a148f9b,"The car rental experience was smooth. The vehicle condition was excellent, and the pricing made it even better.",positive
916ae44c-2d8b-4b45-bd74-0c5e884c88c1,"Exceeded all expectations! The excellent was pickup process, and the pricing made everything easy.",positive
856462ec-90f7-45e8-85c7-6f672c67d3d6,"Loved the service! The wonderful was super GPS availability, and the drop-off experience was beyond my expectations.",positive
204a6c7b-dde3-4b5f-9396-60c25e53c325,Absolutely fantastic! The top-notch was booking ease and the car cleanliness made my trip stress-free.,positive
964ab28c-f9af-476c-83f0-67a6bf238015,"A truly enjoyable experience! The excellent was pickup process, and the tire condition was spot on.",positive
c4fb90ee-b219-4a13-9f74-5afc1d5a380a,Absolutely fantastic! The impressive was return policy and the deposit policy made my trip stress-free.,positive
d40cde7f-50f4-40d3-b959-e7888ed65678,I had an amazing car rental. The excellent was insurance options and the roadside assistance was the highlight.,positive
6b99461f-9b59-470b-a525-d6208b2478c1,I had an amazing car rental. The wonderful was tire condition and the mileage limit was the highlight.,positive
5b1f04c1-50d4-4287-aef0-3441c270bb4b,"The car rental experience was fantastic. The air conditioning was excellent, and the deposit policy made it even better.",positive
e8ebd367-4996-4c2c-ac15-a107f9f8285d,"The car rental experience was wonderful. The deposit policy was excellent, and the vehicle condition made it even better.",positive
b8119c57-db35-4c6a-b797-4a94b1756bc5,"Highly recommend this company! The great was air conditioning, and the deposit policy was top-notch.",positive
b5bf73d2-feab-4a44-b147-30f87f8b093f,I had an amazing car rental. The fantastic was deposit policy and the vehicle condition was the highlight.,positive
